Sales,Quantity,Discount,Profit,OrderDate,ShipDate,ShipMode,OrderID,CustomerName,Segment,ProductName,SubCategory,Category,City,States,Region,Country
261.96,2,0.0,41.9136,2016-11-08,2016-11-11,Second Class,CA-2016-152156,Claire Gute,Consumer,Bush Somerset Collection Bookcase,Bookcases,Furniture,Henderson,Kentucky,South,"United States"
731.94,3,0.0,219.582,2016-11-08,2016-11-11,Second Class,CA-2016-152156,Claire Gute,Consumer,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,Furniture,Henderson,Kentucky,South,"United States"
14.62,2,0.0,6.8714,2016-06-12,2016-06-16,Second Class,CA-2016-138688,Darrin Van Huff,Corporate,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Office Supplies,Los Angeles,California,West,"United States"
957.58,5,0.45,-383.031,2015-10-11,2015-10-18,Standard Class,US-2015-108966,Sean O'Donnell,Consumer,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture,Fort Lauderdale,Florida,South,"United States"
22.37,2,0.2,2.5164,2015-10-11,2015-10-18,Standard Class,US-2015-108966,Sean O'Donnell,Consumer,Eldon Fold 'N Roll Cart System,Storage,Office Supplies,Fort Lauderdale,Florida,South,"United States"
48.86,7,0.0,14.1694,2014-06-09,2014-06-14,Standard Class,CA-2014-115812,Brosina Hoffman,Consumer,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,Furniture,Los Angeles,California,West,"United States"
7.28,4,0.0,1.9656,2014-06-09,2014-06-14,Standard Class,CA-2014-115812,Brosina Hoffman,Consumer,Newell 322,Art,Office Supplies,Los Angeles,California,West,"United States"
907.15,6,0.2,90.7152,2014-06-09,2014-06-14,Standard Class,CA-2014-115812,Brosina Hoffman,Consumer,Mitel 5320 IP Phone VoIP phone,Phones,Technology,Los Angeles,California,West,"United States"
18.5,3,0.2,5.7825,2014-06-09,2014-06-14,Standard Class,CA-2014-115812,Brosina Hoffman,Consumer,DXL Angle-View Binders with Locking Rings by Samsill,Binders,Office Supplies,Los Angeles,California,West,"United States"
114.9,5,0.0,34.47,2014-06-09,2014-06-14,Standard Class,CA-2014-115812,Brosina Hoffman,Consumer,Belkin F5C206VTEL 6 Outlet Surge,Appliances,Office Supplies,Los Angeles,California,West,"United States"
1706.18,9,0.2,85.3092,2014-06-09,2014-06-14,Standard Class,CA-2014-115812,Brosina Hoffman,Consumer,Chromcraft Rectangular Conference Tables,Tables,Furniture,Los Angeles,California,West,"United States"
911.42,4,0.2,68.3568,2014-06-09,2014-06-14,Standard Class,CA-2014-115812,Brosina Hoffman,Consumer,Konftel 250 Conference-áphone-á- Charcoal black,Phones,Technology,Los Angeles,California,West,"United States"
15.55,3,0.2,5.4432,2017-04-15,2017-04-20,Standard Class,CA-2017-114412,Andrew Allen,Consumer,Xerox 1967,Paper,Office Supplies,Concord,North Carolina,South,"United States"
407.98,3,0.2,132.5922,2016-12-05,2016-12-10,Standard Class,CA-2016-161389,Irene Maddox,Consumer,Fellowes PB200 Plastic Comb Binding Machine,Binders,Office Supplies,Seattle,Washington,West,"United States"
68.81,5,0.8,-123.858,2015-11-22,2015-11-26,Standard Class,US-2015-118983,Harold Pawlan,Home Office,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,Office Supplies,Fort Worth,Texas,Central,"United States"
2.54,3,0.8,-3.816,2015-11-22,2015-11-26,Standard Class,US-2015-118983,Harold Pawlan,Home Office,Storex DuraTech Recycled Plastic Frosted Binders,Binders,Office Supplies,Fort Worth,Texas,Central,"United States"
665.88,6,0.0,13.3176,2014-11-11,2014-11-18,Standard Class,CA-2014-105893,Pete Kriz,Consumer,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,Office Supplies,Madison,Wisconsin,Central,"United States"
55.5,2,0.0,9.99,2014-05-13,2014-05-15,Second Class,CA-2014-167164,Alejandro Grove,Consumer,Fellowes Super Stor/Drawer,Storage,Office Supplies,West Jordan,Utah,West,"United States"
